Reference,Title,URL
Barr2015,Subdiffusive motion of bacteriophage in mucosal surfaces increases the frequency of bacterial encounters,https://www.pnas.org/doi/pdf/10.1073/pnas.1508355112
Kim 2019,"Isolation and characterisation of pVa-21, a giant bacteriophage with anti-biofilm potential against Vibrio alginolyticus",https://www.nature.com/articles/s41598-019-42681-1.pdf
Namonyo 2023,The effectiveness and role of phages in the disruption and inactivation of clinical P. aeruginosa biofilms,https://www.sciencedirect.com/science/article/pii/S0013935123013907
Koonjan 2021,"Infection Kinetics and Phylogenetic Analysis of vB_EcoD_SU57, a Virulent T1-Like Drexlerviridae Coliphage",https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2020.565556/pdf
Levisohn 1987,Isolation and Characterization of a Generalized Transducing Phage for the,https://www.researchgate.net/profile/Kenneth-Nealson-2/publication/247609319_Isolation_and_Characterization_of_a_Generalized_Transducing_Phage_for_the_Marine_Luminous_Bacterium_Vibrio_fischeri_MJ1/links/56859a0c08aebccc4e1184f8/Isolation-and-Characterization-of-a-Generalized-Transducing-Phage-for-the-Marine-Luminous-Bacterium-Vibrio-fischeri-MJ1.pdf
Mann 2003,Phages of the marine cyanobacterial picophytoplankton,https://academic.oup.com/femsre/article-pdf/27/1/17/18125987/27-1-17.pdf
Moldovan 2007,On The Kinetics of Phage Adsorption,https://www.cell.com/fulltext/S0006-3495(07)71283-3
Niu 2022,Isolation and characterization of two homolog phages infecting ï»¿Pseudomonas aeruginosaï»¿,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.946251/pdf
Jamal 2014,Characterization of new Myoviridae bacteriophage WZ1 against multi-drug resistant (MDR) Shigella dysenteriae,https://d1wqtxts1xzle7.cloudfront.net/95032783/jobm.20140068820221129-1-1cn5e85-libre.pdf?1669744223=&response-content-disposition=inline%3B+filename%https://www.academia.edu/download/95032783/jobm.20140068820221129-1-1cn5e85.pdf~5zjuVcY-tZrZur-q-k-d-7TH3Yt4mz87c450jI5a7HH0rIeW2hQeNqwFqZCyiKp3GTjre66Y1uQRlIVFWhWrBtI7rVSnCBzCUC5g3SVTfZzKxG4nG9kDvRJejLI1gRH8TQerJGfbe12~uqf1EqKnjKXJV6Rvc15kSqqEWAMRkJPDEFTZfTZyl5LGTO4ngMGMX0mtLTA7ghhpq5ix0eXUPQqUQGFh9dZeQKODBhhqTzmq-zhOw9yJOk4FEuNC84b3PZktgiv9qt9W1tTuKA__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA
Abedon 2023,"Bacteriophage Adsorption: Likelihood of Virion Encounter
with Bacteria and Other Factors Affecting Rates",https://pmc.ncbi.nlm.nih.gov/articles/PMC10135360/pdf/antibiotics-12-00723.pdf
Shao_Wang 2008,Bacteriophage Adsorption Rate and Optimal Lysis Time,https://pmc.ncbi.nlm.nih.gov/articles/PMC2535697/pdf/GEN1801471.pdf
Sillankorva 2008,"Isolation and characterization of a T7-like lytic phage for
Pseudomonas fluorescens",https://link.springer.com/content/pdf/10.1186/1472-6750-8-80.pdf
Stoddard 2007,Selection and Characterization of Cyanophage Resistance in Marine Synechococcus Strains,https://journals.asm.org/doi/pdf/10.1128/aem.00356-07
Storms 2010,"See discussions, st ats, and author pr ofiles f or this public ation at : https://www .researchgate.ne t/public ation/40908938",https://www.researchgate.net/profile/Dominic-Sauvageau/publication/40908938_Bacteriophage_adsorption_efficiency_and_its_effect_on_amplification/links/544609130cf2d62c304d8f88/Bacteriophage-adsorption-efficiency-and-its-effect-on-amplification.pdf
